--- seqs per file 30000
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,-0.11298370163171417,257.65969014167786,23.748405933380127,93015700,"('x', 'x', 'x', '+', '+', 'x')"
--- seqs per file 25000
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,-0.010476583775088394,315.14820098876953,26.033674716949463,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP2,0.27021778318881834,398.9369559288025,24.716085195541382,93015700,"('x', 'x', 'x', '+', '+', 'x')"
--- Back to seqs = 15000, check again with batch 64 (as baseline)
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.1773465830625902,173.73084831237793,21.807027578353882,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP2,0.3262525140104835,255.92161560058594,24.422388315200806,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP3,0.07450997731186605,155.80193400382996,22.430381298065186,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP4,0.024508903810878963,227.16574430465698,26.03438377380371,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP5,0.23212297390245396,217.38894295692444,25.872891664505005,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP6,0.2526837417185649,208.5805106163025,22.455154180526733,93015700,"('x', 'x', 'x', '+', '+', 'x')"
--- Test different varaibles for model. we tested till now on DeepConvModel4(inputShape,classesNum,128,512,4)
--- DeepConvModel4(inputShape,classesNum,128,512,8)
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.0668669412480479,149.24604678153992,22.733728170394897,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP2,0.22857448865186905,217.90166211128235,24.14226484298706,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP3,0.04780381632220813,172.95266556739807,23.834349155426025,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP4,0.08626461514752268,144.98652529716492,23.91433882713318,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP5,0.17073165591360098,170.29851937294006,24.757070779800415,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP6,0.2398949181522251,171.82605838775635,23.81838846206665,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP7,0.3755438809348053,169.4892179965973,21.81719708442688,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP8,0.002983488211965892,161.83976554870605,23.811368942260742,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP9,0.13087524416289947,177.85926485061646,23.97233486175537,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP10,0.06459347323057295,142.7364273071289,28.45188570022583,93015700,"('x', 'x', 'x', '+', '+', 'x')"
RBP11,-0.18138752642546166,494.34208369255066,21.46528434753418,93015700,"('x', 'x', 'x', '+', '+', 'x')"
-- Not improved. 
-- Running with SoftMax DeepConvModel4(inputShape,classesNum,128,512,4)
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,-0.05073490982695132,199.72455286979675,21.954898834228516,93015700,"('x', 'x', 'x', '+', '+', 'x')"
-- check all RBPs, with new combination.
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.16868528542372477,282.02826285362244,23.36775803565979,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP2,0.24726298602781624,210.2913477420807,25.2087299823761,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP3,0.06951388062330402,188.3800401687622,23.92933416366577,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP4,0.034439256816049646,192.83586621284485,26.92037606239319,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP5,0.2696507640634818,210.06685638427734,24.929015159606934,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP6,0.16588734110473266,188.87351727485657,23.972306966781616,93015700,"('x', 'x', 'x', '+', '+', '+')"
