RBP,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds)
RBP 1,0.114037623800982,153.530775785446,22.1812500953674
RBP 2,0.180555623274928,228.322467327118,21.4230487346649
RBP 3,0.0236752508338492,185.116957902908,23.96701836586
RBP 4,0.0226464386937161,218.852293014526,24.3044953346252
RBP 5,0.270996217336435,139.969616413116,24.2334530353546
RBP 6,0.155201227053328,164.93635392189,24.0212876796722
RBP 7,0.203460516546954,194.496965408325,24.2928607463837
RBP 8,0.0981787380980424,141.022023677826,24.0172064304352
RBP 9,0.165512096590463,294.359740495682,23.886253118515
RBP 10,0.044491798498606,253.492228507996,24.1458714008331
RBP 11,0.140557840970827,565.194331884384,23.1946814060211
RBP 12,0.329723763549154,217.976803302765,24.2573184967041
RBP 13,0.374935768255649,212.718128919601,23.6528894901276
RBP 14,0.0795959488753608,257.889460802078,24.6174113750458
RBP 15,0.0705972639587314,301.415065765381,21.0072722434998
RBP 16,0.320432156067601,176.222903966904,24.5814402103424
Average Pearson,0.162162392025289,(DeepConvModel4), (- sum(predict_output[:num_outputs // 2]) + sum(predict_output[num_outputs // 2 + 1:]))
